k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
0;akaze;3753.0;3384.0;0.076088665;0.022484830082742317;boost;3753.0;3384.0;0.036145745;0.010681366725768322;l2;bf;938.0;1521.0;0.066417626;0.17865203600000001;0.11745695989480606;0.19046059275053306;0.2499333866240341;0.6166995397764629;0.2771867612293144;0.3557072430792568
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;sift;28908.0;28066.0;0.546036154;0.01945543198175729;l2;bf;7509.0;10469.0;1.524037707;2.101320197;0.20071833002196965;0.27984021800506065;0.25975508509755085;0.7172604833317413;0.2675479227535096;0.38139015161134676
0;orb;nan;nan;nan;nan;akaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;orb;28908.0;28066.0;0.036161773;0.0012884548207795909;l2;bf;5380.0;11386.0;1.627816167;1.695224276;0.148886727208853;0.315097449070632;0.18610765186107653;0.472510100122958;0.19169101403833821;0.26703727602124383
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;brisk;26076.0;25145.0;0.235271929;0.009356608828793;l2;bf;11827.0;12708.0;2.298240563;2.5647588279999995;0.20182238180673587;0.21685624655449393;0.409125501591255;0.930673591438464;0.42139955818427993;0.5683871587850826
0;orb;nan;nan;nan;nan;kaze;nan;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;daisy;28908.0;28066.0;0.154528292;0.0055058894035487785;l2;bf;13201.0;13285.0;2.644931604;2.830706232;0.21307536560030108;0.21443119703052796;0.45665559706655595;0.9936770794128716;0.4703555903940711;0.6257436067594151
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;freak;20485.0;19149.0;0.128482084;0.006709597576896965;l2;bf;8305.0;8858.0;1.387184771;1.546913191;0.1746345891849176;0.18626287670078268;0.2872907153729072;0.9375705576879657;0.2959096415591819;0.43981358894243505
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;brief;28908.0;28066.0;0.053169665;0.00189445111522839;l2;bf;2412.0;10909.0;0.828462392;0.9128783930000001;0.08368121670180587;0.37847362893864017;0.08343711083437111;0.2211018425153543;0.08594028361718806;0.1211542808348193
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;lucid;28908.0;28066.0;0.09111283;0.003246377467398276;l2;bf;200.0;6462.0;6.377878367;6.500237533;1.0059172907768492;32.501187665;0.006918500069185001;0.03095017022593624;0.007126060001425212;0.01130901894260673
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;latch;28908.0;28066.0;0.020823829;0.0007419592745670918;l2;bf;260.0;12765.0;0.258786735;0.3108569;0.02435228358793576;1.1956034615384614;0.008994050089940501;0.020368194281237758;0.009263878001852776;0.0124781033282941
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;vgg;28908.0;28066.0;1.668465345;0.05944792079384308;l2;bf;413.0;5385.0;0.988431445;2.688143126;0.4991909240482823;6.508821128329298;0.014286702642867027;0.07669452181987;0.014715313902943063;0.0240865482751582
0;orb;28908.0;28066.0;0.031246336;0.0011133163258034632;beblid;28908.0;28066.0;0.021300283;0.0007589354735266871;l2;bf;7670.0;11072.0;3.996100518;4.048647137;0.3656653844833815;0.5278549070404172;0.2653244776532448;0.6927384393063584;0.2732844010546569;0.3836918459229615
