k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points
2;kaze;4370.0;2025.0;0.377438229;0.18638924888888891;boost;4370.0;2025.0;0.386467292;0.1908480454320988;HAM;Flann;259.0;4370.0;0.049569166;0.813474687;0.18614981395881008;3.1408289073359072;0.05926773455377574;0.05926773455377574;0.12790123456790123;0.05926773455377574;nan;
2;fast;nan;nan;nan;nan;sift;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
2;fast;nan;nan;nan;nan;akaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;orb;8212.0;6618.0;0.012620105;0.0019069363856149893;HAM;Flann;316.0;8212.0;0.11965099;0.136972814;0.016679592547491476;0.43345827215189875;0.03444141689373297;0.038480272771553824;0.04148070359674455;0.03634899637660321;nan;
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;brisk;8830.0;7236.0;0.071500156;0.009881171365395245;HAM;Flann;215.0;8830.0;0.131266459;0.207468334;0.023495847565118914;0.9649689953488373;0.023433242506811988;0.02434881087202718;0.02822263061170911;0.023882254929186334;nan;
2;fast;nan;nan;nan;nan;kaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
2;fast;nan;nan;nan;nan;daisy;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;freak;8539.0;6940.0;0.062994323;0.009076991786743517;HAM;Flann;208.0;8539.0;0.170445781;0.238141823;0.02788872502634969;1.1449126105769232;0.022670299727520438;0.02435882421829254;0.027303754266211604;0.023484249745963647;nan;
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;brief;8302.0;6710.0;0.012710104;0.0018942032786885246;HAM;Flann;226.0;8302.0;0.101586511;0.11899833400000001;0.014333694772344014;0.5265413008849558;0.024632152588555858;0.027222356058781018;0.029666579154633763;0.025862562224638095;nan;
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;lucid;9175.0;7618.0;0.020671667;0.002713529404043056;HAM;Flann;323.0;9175.0;0.266977917;0.292351303;0.03186390223433243;0.9051123931888545;0.03520435967302452;0.03520435967302452;0.042399579942242055;0.03520435967302452;nan;
