Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints
fast;nan;nan;nan;sift;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
fast;nan;nan;nan;akaze;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
fast;5712.0;3172.8;0.0010134870482516188;orb;4236.0;2376.8;0.002713611292460214;HAM;BF;1060.2;1516.6;0.15831151020000003;0.10370780352993929;0.14997744473421434;0.18560924369747894;0.6945803292918693;0.3366325051025202;0.2902411180854582;nan;
fast;5712.0;3172.8;0.0010134870482516188;brisk;5174.0;2868.8;0.010593168493547906;HAM;BF;916.6;1576.6;0.28695091659999994;0.18093193279310243;0.3186253396837234;0.16046918767507004;0.5705266210190452;0.2859004901306915;0.24799404588377866;nan;
fast;nan;nan;nan;kaze;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
fast;nan;nan;nan;daisy;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
fast;5712.0;3172.8;0.0010134870482516188;freak;4716.0;2624.8;0.009663067528405893;HAM;BF;675.2;1294.4;0.24276253139999998;0.18640952676623251;0.3739098142950213;0.11820728291316526;0.5058551175454125;0.2080003455396854;0.18985769936976776;nan;
fast;5712.0;3172.8;0.0010134870482516188;brief;4384.0;2452.2;0.0022819852765697344;HAM;BF;1008.6;1521.4;0.157977854;0.10308155770730609;0.15635803732645184;0.17657563025210082;0.6612274036985861;0.3211304473025646;0.27597951244817703;nan;
fast;5712.0;3172.8;0.0010134870482516188;lucid;5712.0;3172.8;0.0042521945723754204;HAM;BF;47.4;830.2;0.5651308022;0.6834163751561135;11.959171015802562;0.008298319327731094;0.05888420727631692;0.015387300581763274;0.014420202862963378;nan;
fast;5712.0;3172.8;0.0010134870482516188;latch;4550.0;2528.8;0.0014310957969258457;HAM;BF;308.2;1324.8;0.1869209062;0.1390379397074497;0.7201122583456231;0.05395658263305322;0.21891695770768446;0.09102412942360541;0.08615091908407997;nan;
fast;nan;nan;nan;vgg;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
fast;5712.0;3172.8;0.0010134870482516188;beblid;5712.0;3172.8;0.005929437331470797;HAM;BF;1975.8;2096.2;0.330710625;0.15681864843004836;0.1663874614395003;0.3459033613445378;0.9424556109446616;0.6280878051513491;0.49953410679543203;nan;
fast;5712.0;3172.8;0.0010134870482516188;teblid;5712.0;3172.8;0.003435207718604896;HAM;BF;1938.8;2076.8;0.2731031246;0.13088386236240993;0.1406746897594396;0.3394257703081232;0.9303292368773171;0.6142470802069993;0.49111935055522665;nan;
fast;5712.0;3172.8;0.0010134870482516188;boost;5712.0;3172.8;0.16249571445760055;HAM;BF;1799.8;1923.2;0.7781200732;0.4023405181022916;0.43210995149306014;0.3150910364145658;0.931091847028056;0.5671159821898033;0.4644745447479841;nan;
mser;nan;nan;nan;sift;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
mser;nan;nan;nan;akaze;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
mser;817.0;813.0;0.4213146904641391;orb;679.0;655.2;0.005593332756727928;HAM;BF;16.4;247.6;0.35675136420000003;1.4667003824835947;21.997321118543418;0.020073439412484705;0.06664227234252673;0.020342256219218306;0.03075878250219937;nan;
mser;817.0;813.0;0.4213146904641391;brisk;693.0;659.6;0.014552359560764621;HAM;BF;18.2;260.8;0.3669581864;1.4280080677812705;20.515927781315792;0.0222766217870257;0.07052256525147182;0.02257584767603727;0.033766603542333296;nan;
mser;nan;nan;nan;kaze;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
mser;nan;nan;nan;daisy;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
mser;817.0;813.0;0.4213146904641391;freak;610.0;556.6;0.01358724644461684;HAM;BF;15.4;231.4;0.36160680199999995;1.5951588202825562;23.502266096666666;0.018849449204406364;0.06767081655432866;0.01909350310201132;0.029380539427084136;nan;
mser;817.0;813.0;0.4213146904641391;brief;693.0;665.6;0.004920876040373826;HAM;BF;19.6;277.2;0.35834356180000004;1.307046911468923;18.650433373641597;0.023990208078335372;0.07121379568935296;0.024318255112316344;0.03581296276512069;nan;
mser;817.0;813.0;0.4213146904641391;lucid;817.0;813.0;0.006754741248563528;HAM;BF;16.2;185.8;0.37173521840000007;2.043936730697186;23.269624431904766;0.01982864137086903;0.08801568794782486;0.020091938631756595;0.03226334184748741;nan;
mser;817.0;813.0;0.4213146904641391;latch;700.0;679.2;0.002502769757103863;HAM;BF;18.0;269.0;0.3573383536;1.3301501814596497;19.94455627388889;0.022031823745410038;0.06689273103235618;0.02231656401475835;0.03313775146626954;nan;
mser;nan;nan;nan;vgg;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
mser;817.0;813.0;0.4213146904641391;beblid;817.0;813.0;0.011427338336317944;HAM;BF;320.2;389.6;0.36800757219999997;0.9522497059530473;1.1797663336051776;0.391921664626683;0.816549122060222;0.39689986522347265;0.5286643448502446;nan;
mser;817.0;813.0;0.4213146904641391;teblid;817.0;813.0;0.006833331754985686;HAM;BF;310.6;383.6;0.3634844368;0.9634509353596439;1.2170736856763225;0.380171358629131;0.8029066993276406;0.38508280076780754;0.5141784736315279;nan;
mser;817.0;813.0;0.4213146904641391;boost;817.0;813.0;0.1581102013915771;HAM;BF;288.8;363.8;0.484134437;1.3487911216451889;1.734820589597917;0.35348837209302325;0.7874009659324587;0.35800878458856555;0.4863730265072679;nan;
agast;nan;nan;nan;sift;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
agast;nan;nan;nan;akaze;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
agast;6676.0;3818.6;0.002552564340765971;orb;5025.0;2911.4;0.002929027265056288;HAM;BF;1756.8;2151.0;0.29420380160000004;0.12808148686758564;0.15640711634482246;0.26315158777711206;0.816822507310782;0.4641760599599478;0.39044868654200204;nan;
agast;6676.0;3818.6;0.002552564340765971;brisk;5948.0;3435.8;0.012767285147942703;HAM;BF;1596.0;2175.4;0.5055227808;0.21647829242075392;0.30803580787873697;0.2390653085680048;0.6984987963919911;0.39884040613694294;0.3492274912448966;nan;
agast;nan;nan;nan;kaze;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
agast;nan;nan;nan;daisy;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
agast;6676.0;3818.6;0.002552564340765971;freak;5489.0;3171.6;0.011495340699613056;HAM;BF;1258.0;1864.2;0.4335127188;0.2168477700978868;0.33110258826601013;0.1884361893349311;0.6458051046898798;0.31665274073447175;0.2863635060420743;nan;
agast;6676.0;3818.6;0.002552564340765971;brief;5151.0;2992.0;0.002459695600913205;HAM;BF;1610.4;2057.8;0.283578916;0.12940486954323802;0.16623497632420386;0.24122228879568602;0.7699232310951794;0.4172096214228408;0.36028922682343456;nan;
agast;6676.0;3818.6;0.002552564340765971;lucid;6676.0;3818.6;0.005104855227811039;HAM;BF;63.2;999.6;1.0151165203999999;0.9413031118153381;15.09379893649745;0.009466746554823248;0.06396508982951529;0.01699107076946549;0.016321476471890806;nan;
agast;6676.0;3818.6;0.002552564340765971;latch;5307.0;3074.8;0.0014361525312870105;HAM;BF;591.4;1593.6;0.33306580199999997;0.19505159071107397;0.546075060321322;0.08858597962852006;0.3517377075614776;0.1489389275693907;0.1403792386177909;nan;
agast;nan;nan;nan;vgg;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
agast;6676.0;3818.6;0.002552564340765971;beblid;6676.0;3818.6;0.005734852751867337;HAM;BF;2783.0;2823.8;0.4631213434;0.1636827473210551;0.16626883983449806;0.4168663870581186;0.9844563775775992;0.7340158054320959;0.5730439349312417;nan;
agast;6676.0;3818.6;0.002552564340765971;teblid;6676.0;3818.6;0.0032634465825520454;HAM;BF;2745.2;2792.6;0.3866458117999999;0.13819292730073476;0.14080597948197598;0.41120431396045537;0.9814134320354443;0.7239219707132447;0.5671984234159491;nan;
