Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints
brisk;15312.9;14500.4;0.010924884239168601;orb;14721.3;13965.6;0.0018234829811492887;L2;BF;126.8;4892.5;0.7028142827000001;0.1188845476142841;4.907697342584582;0.009972473080138633;0.03012597664711551;0.010448181058919408;0.014970527302370713;nan;
brisk;15312.9;14500.4;0.010924884239168601;brisk;15312.9;14500.4;0.00810600563054722;L2;BF;2042.2;5163.0;1.3415833127;0.20855529452270435;1.5570654025491504;0.16319918398897942;0.44937662771845394;0.17071471334612176;0.23886118352253768;nan;
brisk;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
brisk;15312.9;14500.4;0.010924884239168601;daisy;15312.9;14500.4;0.013855983607018296;L2;BF;4372.5;5036.3;1.2696054404;0.2161120599660014;0.25833751014062917;0.3138002983654061;0.8669800128789366;0.3289021912551439;0.4545645221496339;nan;
brisk;15312.9;14500.4;0.010924884239168601;freak;13797.7;13108.9;0.005082223248899743;L2;BF;412.5;4182.3;1.0982926803999997;0.209824355937287;4.059140373858028;0.023545360086145325;0.08005447188029627;0.024867875425007967;0.03626884831145125;nan;
brisk;15312.9;14500.4;0.010924884239168601;brief;14877.3;14104.0;0.0018755926957913145;L2;BF;122.7;5235.1;0.4844728431;0.08017228034344091;3.4423873613763716;0.008758947621524692;0.02521348383238406;0.009238963868601567;0.012996330507349083;nan;
brisk;15312.9;14500.4;0.01091237972002783;lucid;15312.9;14500.4;0.0035367272255478178;L2;BF;250.7;5028.3;2.6643140240000003;0.40474589470831024;13.613691360673396;0.025513472506882705;0.07048063373688014;0.02683554491624472;0.03740998868993327;nan;
brisk;15312.9;14500.4;0.010924884239168601;latch;15020.6;14236.1;0.0008771079420267218;L2;BF;157.0;6699.3;0.2726573598;0.038420615912169845;1.6142677023068135;0.011467220384766786;0.025491658006539852;0.01204568319100424;0.01581142747244876;nan;
brisk;15312.9;14500.4;0.010924884239168601;vgg;15312.9;14500.4;0.05690891153405755;L2;BF;2529.7;3877.7;1.3614643089;0.3246416110784437;0.6361010914178815;0.20894499789417748;0.6743965948066233;0.2182635268249557;0.3156386674482879;nan;
brisk;15312.9;14500.4;0.010924884239168601;beblid;15312.9;14500.4;0.0007775836529173617;L2;BF;1668.7;4926.8;1.5986093361;0.2518357218017249;1.9998363615141865;0.1364163602957044;0.38850365106151463;0.14273372992680686;0.2014743769855012;nan;
brisk;15312.9;14500.4;0.010924884239168601;teblid;15312.9;14500.4;0.0004880118565931983;L2;BF;769.5;5083.3;0.7202518113;0.11503018119759827;1.27124109427778;0.06390696134167759;0.18494557775996706;0.06698449055659346;0.09493216286169306;nan;
brisk;15312.9;14500.4;0.010924884239168601;boost;15312.9;14500.4;0.009916764276595746;L2;BF;512.7;4341.1;0.8597453241;0.16560865872917205;2.512960132502597;0.04689546878656854;0.15670646270324345;0.04921025638017455;0.07212884705907541;nan;
