k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Match Rate;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
5;mser;nan;nan;nan;nan;sift;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;mser;nan;nan;nan;nan;akaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;mser;768.0;758.0;0.303655093;0.4006003865435356;orb;632.0;626.0;0.002456676;0.003924402555910544;HAM;Flann;11.702127659574469;11.0;94.0;0.007118634;0.313230403;3.3322383297872338;28.47549118181818;0.014322916666666666;0.11702127659574468;0.014511873350923483;0.02552204176334107
5;mser;768.0;758.0;0.303655093;0.4006003865435356;brisk;633.0;626.0;0.007371952;0.011776281150159745;HAM;Flann;4.340277777777778;25.0;576.0;0.01020966;0.321236705;0.5577026128472222;12.8494682;0.032552083333333336;0.043402777777777776;0.032981530343007916;0.03720238095238096
5;mser;nan;nan;nan;nan;kaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;mser;nan;nan;nan;nan;daisy;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;mser;768.0;758.0;0.303655093;0.4006003865435356;freak;587.0;578.0;0.004584686;0.007931982698961938;HAM;Flann;4.39121756487026;22.0;501.0;0.01439806;0.322637839;0.6439877025948103;14.665356318181816;0.028645833333333332;0.043912175648702596;0.029023746701846966;0.03467297084318361
5;mser;768.0;758.0;0.303655093;0.4006003865435356;brief;633.0;627.0;0.001827609;0.0029148468899521532;HAM;Flann;9.375;12.0;128.0;0.006493009;0.311975711;2.4373102421875;25.997975916666665;0.015625;0.09375;0.0158311345646438;0.026785714285714284
5;mser;768.0;758.0;0.303655093;0.4006003865435356;lucid;768.0;758.0;0.004442883;0.005861323218997361;HAM;Flann;91.94630872483222;411.0;447.0;0.017209099;0.325307075;0.7277563199105145;0.791501399026764;0.53515625;0.9194630872483222;0.5422163588390502;0.6765432098765432
5;mser;768.0;758.0;0.303655093;0.4006003865435356;latch;635.0;629.0;0.00112752;0.0017925596184419712;HAM;Flann;8.333333333333332;19.0;228.0;0.005345135;0.310127748;1.3602094210526317;16.322513052631578;0.024739583333333332;0.08333333333333333;0.025065963060686015;0.038152610441767064
5;mser;nan;nan;nan;nan;vgg;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;mser;768.0;758.0;0.303655093;0.4006003865435356;beblid;768.0;758.0;0.001961659;0.0025879406332453827;HAM;Flann;14.130434782608695;13.0;92.0;0.009159267;0.314776019;3.4214784673913043;24.213539923076922;0.016927083333333332;0.14130434782608695;0.017150395778364115;0.03023255813953488
