Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;8820.0;5912.2;0.016925282855976286;vgg;8820.0;5912.2;0.05771117629025134;l2;bf;682.2;2386.8;0.5154943572;0.22163937437313272;2.854337262628743;0.07734693877551022;0.2227802541836891;0.09160971731177545;0.11361124770496264
sift;8820.0;5912.2;0.016925282855976286;beblid;8820.0;5912.2;0.0011801870573382245;l2;bf;402.8;2158.6;0.3632441336;0.16908147779676083;1.9491964185800619;0.045668934240362814;0.16838697633501426;0.05993303776929557;0.07157594316711123
sift;8820.0;5912.2;0.016925282855976286;teblid;8820.0;5912.2;0.0006042262101920209;l2;bf;160.8;2357.2;0.20893432159999997;0.0895541569252897;1.9594789656146603;0.0182312925170068;0.06244350043077064;0.024050491815135282;0.028100365879779293
sift;8820.0;5912.2;0.016925282855976286;boost;8820.0;5912.2;0.010865299362275514;l2;bf;304.8;2311.2;0.2643592686;0.11534727418183313;2.480740338856479;0.0345578231292517;0.11478196371238025;0.04310523065477001;0.05294781539220613
akaze;4467.0;2871.2;0.025304662405604007;sift;4467.0;2871.2;0.010239675988279712;l2;bf;1125.0;1459.0;0.1338743932;0.11327988164888421;0.23497192126091457;0.251846877098724;0.6545156474860577;0.33352780867440146;0.348893713297741
akaze;4467.0;2871.2;0.025304662405604007;akaze;4467.0;2871.2;0.021568303131661515;l2;bf;767.4;1429.8;0.1822680788;0.1383632294506521;0.7883619286524475;0.17179314976494292;0.4509931528692893;0.2257951094831617;0.24495749231449376
akaze;4467.0;2871.2;0.025304662405604007;orb;4448.0;2860.8;0.0024898963665828597;l2;bf;193.0;1135.0;0.11507907740000001;0.10329952684460317;1.6842442724877373;0.04320573091560331;0.1334042609134405;0.05174409489069496;0.06469196825871569
akaze;4467.0;2871.2;0.025304662405604007;brisk;4467.0;2871.2;0.00846211926889032;l2;bf;407.2;1191.0;0.1539419866;0.1347063355430641;1.2636774768122996;0.09115737631520035;0.2618692304345297;0.10892298947635488;0.13339828651815552
akaze;nan;nan;nan;kaze;nan;nan;nan;l2;bf;nan;nan;nan;nan;nan;nan;nan;nan;nan
akaze;4467.0;2871.2;0.025304662405604007;daisy;4467.0;2871.2;0.034787223937645995;l2;bf;572.0;864.4;0.21226648539999998;0.4940940966257236;3.6968794300725323;0.128050145511529;0.30547831593414276;0.13722348115080732;0.16422042325764347
akaze;4467.0;2871.2;0.025304662405604007;freak;4467.0;2871.2;0.004974019525377282;l2;bf;307.8;1031.0;0.1428775092;0.1445170832040807;1.398881034983438;0.06890530557421087;0.2340131048731159;0.08365262038974636;0.1052822824757694
akaze;4467.0;2871.2;0.025304662405604007;brief;4467.0;2871.2;0.0021082271585891334;l2;bf;130.0;1260.8;0.1008538342;0.08234615622977363;1.4944843196285094;0.029102305798074768;0.0885238591115466;0.038173923039304544;0.043375015651230406
akaze;4467.0;2871.2;0.025304662405604007;lucid;4467.0;2871.2;0.0028595929823626255;l2;bf;63.6;1386.8;0.18992287999999996;0.13735592305872285;2.9884962960920367;0.014237743451981196;0.0472113675555968;0.024057125210754884;0.02170088959353811
akaze;4467.0;2871.2;0.025304662405604007;latch;4467.0;2871.2;0.001196299284231493;l2;bf;65.2;1639.6;0.0864577188;0.054272154462811174;1.3492364525185656;0.01459592567718827;0.04201250302964184;0.02607478774363271;0.021524563327581007
akaze;4467.0;2871.2;0.025304662405604007;vgg;4467.0;2871.2;0.05898438324021362;l2;bf;747.4;1269.2;0.26100422819999997;0.23543961112556833;1.7212341363481696;0.16731587194985448;0.4198675713678462;0.1985249437125686;0.23252739522818455
akaze;4467.0;2871.2;0.025304662405604007;beblid;4467.0;2871.2;0.0014020327837062337;l2;bf;454.2;1207.0;0.1494752218;0.12720405602186644;0.9960526623842683;0.10167897918065816;0.3163111567432314;0.13029754258267104;0.15258137575483824
akaze;4467.0;2871.2;0.025304662405604007;teblid;4467.0;2871.2;0.0007326894113774437;l2;bf;255.8;1263.6;0.1070726404;0.0876488386051632;0.8863585099242467;0.057264383254980976;0.17687117466424346;0.07630395633779449;0.08587650197200476
akaze;4467.0;2871.2;0.025304662405604007;boost;4467.0;2871.2;0.013111966733801422;l2;bf;348.6;1178.8;0.1378601072;0.12061924218194738;1.0625327817688284;0.07803895231699126;0.24772599155350722;0.09967898113680541;0.11766922136398068
orb;27150.0;21509.2;0.0009962485875579757;sift;27150.0;21509.2;0.021052991068031553;l2;bf;2598.8;4399.4;1.5308953652;0.6450869582427108;5.671229411051997;0.09572007366482503;0.37347516966531663;0.10081868925500126;0.14617757705660828
